,Tanggal,Jam,Deskripsi Produk,Jumlah Barang
0,25-06-2021,10:21:35,"Fresh Milk Cimory 950ml,",2
1,25-06-2021,10:21:35,"Espresso Based 1kg, House Blend Arabica",2
2,25-06-2021,10:21:35,"Single Origin 200gr, Mekarwangi",1
4,25-05-2021,09:09:25,"Espresso Based 1kg, House Blend 70:30",2
5,25-05-2021,09:09:25,"Single Origin 200gr, Mekarwangi",1
6,25-05-2021,09:09:25,"Fresh Milk Cimory 950ml,",3
7,25-05-2021,09:09:25,"Espresso Based 1kg, House Blend Arabica",2
8,30-04-2021,23:52:57,"Vietnam Drip, Hot",1
9,30-04-2021,23:52:57,"Coffee Crema,",1
10,30-04-2021,23:52:57,"Butter Scotch, Ice",1
11,30-04-2021,23:52:57,"French Fries, Reguler",2
12,30-04-2021,23:52:57,"Risoles,",1
13,30-04-2021,23:52:57,"Cilok Crispy,",1
14,30-04-2021,23:30:01,"Cinnamon Coffee,",1
15,30-04-2021,23:30:01,"Mochacino, Hot",1
16,30-04-2021,22:44:38,"Coffee Beer,",1
17,30-04-2021,22:31:47,"Cilok Crispy,",1
18,30-04-2021,22:31:47,"French Fries, Reguler",1
19,30-04-2021,22:31:47,"Milk Tea, Ice",1
20,30-04-2021,22:00:17,"Gula Aren, Original",1
21,30-04-2021,22:00:17,"Pink Story, Ice",1
22,30-04-2021,22:00:17,"Strawberry Jam,",1
23,30-04-2021,21:58:19,"Coffee Beer,",1
24,30-04-2021,21:58:19,"To - Brew,",1
25,30-04-2021,21:56:16,"To - Brew,",1
26,30-04-2021,21:55:50,"V-60, Japstyle",1
27,30-04-2021,21:54:53,"Vietnam Drip, Hot",1
28,30-04-2021,21:54:53,"Vietnam Drip, Ice",1
29,30-04-2021,21:54:53,"Cilok Crispy,",1
30,30-04-2021,20:46:44,"Pink Story, Ice",1
31,30-04-2021,20:46:44,"Strawberry Jam,",1
32,30-04-2021,20:13:08,"Strawberry Jam,",3
33,30-04-2021,20:13:08,"Pink Story, Ice",3
34,30-04-2021,20:13:08,"Gula Aren, Original",1
35,29-04-2021,23:07:25,"Coffee Beer,",1
36,29-04-2021,23:06:52,"Butter Scotch, Ice",1
37,29-04-2021,23:06:52,"Gula Aren, Original",1
38,29-04-2021,23:06:52,"Choco Latte, Hot",1
39,29-04-2021,22:41:03,"Milk Tea, Ice",1
40,29-04-2021,20:26:19,"Cafe Latte, Original",1
41,29-04-2021,20:23:45,"Matcha Latte, Ice",1
