No Faktur,Tanggal,Nama Outlet,Nama Kasir,Jam,Deskripsi Produk,Modifier,Jumlah Barang,Jumlah dibatalkan,Harga Per Barang,Jumlah Harga,Diskon Per Barang,Tipe Diskon per Barang,Diskon Transaksi,Tipe Diskon Transaksi,Pajak,Subtotal,Status,Metode Pembayaran,No. Referensi
276106LQ,25-06-2021,Tovi Kohi,Henggar Vyasto,10:21:35,"Fresh Milk Cimory 950ml,",,2,0,174000,348000,48000,"Rp ,",0,,0,300000,Transaksi,TRANSFER,
276106LQ,25-06-2021,Tovi Kohi,Henggar Vyasto,10:21:35,"Espresso Based 1kg, House Blend Arabica",,2,0,210000,420000,20000,"Rp ,",0,,0,400000,Transaksi,TRANSFER,
276106LQ,25-06-2021,Tovi Kohi,Henggar Vyasto,10:21:35,"Single Origin 200gr, Mekarwangi",,1,0,90000,90000,45000,"% ,",0,,0,45000,Transaksi,TRANSFER,
245186PT,25-05-2021,Tovi Kohi,Henggar Vyasto,18:17:55,M Henggarvyasto 5 April - 5 mei,,1,1,1668000,0,0,,0,,0,0,Dibatalkan,CASH,
24509R23,25-05-2021,Tovi Kohi,Henggar Vyasto,09:09:25,"Espresso Based 1kg, House Blend 70:30",,2,0,185000,370000,30000,"Rp ,",0,,0,340000,Transaksi,TRANSFER,
24509R23,25-05-2021,Tovi Kohi,Henggar Vyasto,09:09:25,"Single Origin 200gr, Mekarwangi",,1,0,90000,90000,5000,"Rp ,",0,,0,85000,Transaksi,TRANSFER,
24509R23,25-05-2021,Tovi Kohi,Henggar Vyasto,09:09:25,"Fresh Milk Cimory 950ml,",,3,0,174000,522000,36000,"Rp ,",0,,0,486000,Transaksi,TRANSFER,
24509R23,25-05-2021,Tovi Kohi,Henggar Vyasto,09:09:25,"Espresso Based 1kg, House Blend Arabica",,2,0,210000,420000,20000,"Rp ,",0,,0,400000,Transaksi,TRANSFER,
2202336L,30-04-2021,Tovi Kohi,Nadhila,23:52:57,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
2202336L,30-04-2021,Tovi Kohi,Nadhila,23:52:57,"Coffee Crema,",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
2202336L,30-04-2021,Tovi Kohi,Nadhila,23:52:57,"Butter Scotch, Ice",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
2202336L,30-04-2021,Tovi Kohi,Nadhila,23:52:57,"French Fries, Reguler",,2,0,12000,24000,0,,0,,0,24000,Transaksi,CASH,
2202336L,30-04-2021,Tovi Kohi,Nadhila,23:52:57,"Risoles,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
2202336L,30-04-2021,Tovi Kohi,Nadhila,23:52:57,"Cilok Crispy,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
220236V6,30-04-2021,Tovi Kohi,Nadhila,23:30:01,"Cinnamon Coffee,",,1,0,25000,25000,0,,0,,0,25000,Transaksi,CASH,
220236V6,30-04-2021,Tovi Kohi,Nadhila,23:30:01,"Mochacino, Hot",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
22022EHF,30-04-2021,Tovi Kohi,Nadhila,22:44:38,"Coffee Beer,",,1,0,20000,20000,0,,2000,"% ,",0,18000,Transaksi,CASH,
22022Y11,30-04-2021,Tovi Kohi,Nadhila,22:31:47,"Cilok Crispy,",,1,0,12000,12000,0,,1200,"% ,",0,10800,Transaksi,CASH,
22022Y11,30-04-2021,Tovi Kohi,Nadhila,22:31:47,"French Fries, Reguler",,1,0,12000,12000,0,,1200,"% ,",0,10800,Transaksi,CASH,
22022Y11,30-04-2021,Tovi Kohi,Nadhila,22:31:47,"Milk Tea, Ice",,1,0,17000,17000,0,,1700,"% ,",0,15300,Transaksi,CASH,
22022BEO,30-04-2021,Tovi Kohi,Nadhila,22:00:17,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
22022BEO,30-04-2021,Tovi Kohi,Nadhila,22:00:17,"Pink Story, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
22022BEO,30-04-2021,Tovi Kohi,Nadhila,22:00:17,"Strawberry Jam,",,1,0,2000,2000,0,,0,,0,2000,Transaksi,CASH,
220218IG,30-04-2021,Tovi Kohi,Nadhila,21:58:19,"Coffee Beer,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
220218IG,30-04-2021,Tovi Kohi,Nadhila,21:58:19,"To - Brew,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
22021AQ1,30-04-2021,Tovi Kohi,Nadhila,21:56:16,"To - Brew,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
22021Y00,30-04-2021,Tovi Kohi,Nadhila,21:55:50,"V-60, Japstyle",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
22021H8C,30-04-2021,Tovi Kohi,Nadhila,21:54:53,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
22021H8C,30-04-2021,Tovi Kohi,Nadhila,21:54:53,"Vietnam Drip, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
22021H8C,30-04-2021,Tovi Kohi,Nadhila,21:54:53,"Cilok Crispy,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
22020S3D,30-04-2021,Tovi Kohi,Nadhila,20:46:44,"Pink Story, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
22020S3D,30-04-2021,Tovi Kohi,Nadhila,20:46:44,"Strawberry Jam,",,1,0,2000,2000,0,,0,,0,2000,Transaksi,CASH,
22020B91,30-04-2021,Tovi Kohi,Nadhila,20:13:08,"Strawberry Jam,",,3,0,2000,6000,0,,1200,"% ,",0,4800,Transaksi,CASH,
22020B91,30-04-2021,Tovi Kohi,Nadhila,20:13:08,"Pink Story, Ice",,3,0,18000,54000,0,,10800,"% ,",0,43200,Transaksi,CASH,
22020B91,30-04-2021,Tovi Kohi,Nadhila,20:13:08,"Gula Aren, Original",,1,0,17000,17000,0,,3400,"% ,",0,13600,Transaksi,CASH,
21923W29,29-04-2021,Tovi Kohi,Pipah,23:07:25,"Coffee Beer,",,1,0,20000,20000,0,,2000,"% ,",0,18000,Transaksi,CASH,
219238P4,29-04-2021,Tovi Kohi,Pipah,23:06:52,"Butter Scotch, Ice",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
219238P4,29-04-2021,Tovi Kohi,Pipah,23:06:52,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
219238P4,29-04-2021,Tovi Kohi,Pipah,23:06:52,"Choco Latte, Hot",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
21922WPX,29-04-2021,Tovi Kohi,Pipah,22:41:03,"Milk Tea, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
21920G6F,29-04-2021,Tovi Kohi,Nadhila,20:26:19,"Cafe Latte, Original",,1,0,16000,16000,0,,1000,"Rp ,",0,15000,Transaksi,CASH,
21920BOC,29-04-2021,Tovi Kohi,Pipah,20:23:45,"Matcha Latte, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
217238R6,27-04-2021,Tovi Kohi,Nadhila,23:26:02,"Dragon Tea, Ice",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
217238R6,27-04-2021,Tovi Kohi,Nadhila,23:26:02,"Garlic Bread,",,1,0,10000,10000,0,,0,,0,10000,Transaksi,CASH,
217238R6,27-04-2021,Tovi Kohi,Nadhila,23:26:02,"Flat White,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
217238R6,27-04-2021,Tovi Kohi,Nadhila,23:26:02,"Coffee Beer,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
217238R6,27-04-2021,Tovi Kohi,Nadhila,23:26:02,"French Fries, Reguler",,2,0,12000,24000,0,,0,,0,24000,Transaksi,CASH,
217238R6,27-04-2021,Tovi Kohi,Nadhila,23:26:02,"Cappuchino, Classic",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
217238R6,27-04-2021,Tovi Kohi,Nadhila,23:26:02,"White Story,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
217238R6,27-04-2021,Tovi Kohi,Nadhila,23:26:02,"Vanilla Milk, Ice",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
217233WW,27-04-2021,Tovi Kohi,Nadhila,23:23:11,"Cappuchino, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
21723BZ1,27-04-2021,Tovi Kohi,Nadhila,23:20:37,"Coffee Beer,",,1,0,20000,20000,0,,2000,"% ,",0,18000,Transaksi,CASH,
21723BEI,27-04-2021,Tovi Kohi,Nadhila,23:15:02,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
21722TTY,27-04-2021,Tovi Kohi,Nadhila,22:21:41,"Pink Story, Ice",,4,0,18000,72000,0,,0,,0,72000,Transaksi,CASH,
21722TTY,27-04-2021,Tovi Kohi,Nadhila,22:21:41,"Coffee Beer,",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
21722TTY,27-04-2021,Tovi Kohi,Nadhila,22:21:41,"Cappuchino, Classic",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
21722TTY,27-04-2021,Tovi Kohi,Nadhila,22:21:41,"Garlic Bread,",,1,0,10000,10000,0,,0,,0,10000,Transaksi,CASH,
217223FU,27-04-2021,Tovi Kohi,Nadhila,22:04:20,"Doppio,",,1,0,12000,12000,0,,2000,"Rp ,",0,10000,Transaksi,CASH,
21722DRW,27-04-2021,Tovi Kohi,Nadhila,22:00:08,"Matcha Latte, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
2172143C,27-04-2021,Tovi Kohi,Nadhila,21:58:09,"Cappuchino, Magic",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
21721CH1,27-04-2021,Tovi Kohi,Nadhila,21:52:11,"Coffee Crema,",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
21721CH1,27-04-2021,Tovi Kohi,Nadhila,21:52:11,"V-60, Japstyle",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
21721CH1,27-04-2021,Tovi Kohi,Nadhila,21:52:11,"Butter Scotch, Ice",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
21721ILS,27-04-2021,Tovi Kohi,Nadhila,21:17:43,"Cappuchino, Classic",,2,0,16000,32000,0,,0,,0,32000,Transaksi,CASH,
21622HVA,26-04-2021,Tovi Kohi,Nadhila,22:49:05,"Choco Latte, Ice",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
21622HVA,26-04-2021,Tovi Kohi,Nadhila,22:49:05,"Hazelnut,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
216221JS,26-04-2021,Tovi Kohi,Nadhila,22:47:24,"Hazelnut,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
21622XXU,26-04-2021,Tovi Kohi,Nadhila,22:17:48,"Matcha Latte, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
21622XXU,26-04-2021,Tovi Kohi,Nadhila,22:17:48,"French Fries, Reguler",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
21622F9Y,26-04-2021,Tovi Kohi,Nadhila,22:17:00,"French Fries, Reguler",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
21622F9Y,26-04-2021,Tovi Kohi,Nadhila,22:17:00,"Garlic Bread,",,1,0,10000,10000,0,,0,,0,10000,Transaksi,CASH,
21622F9Y,26-04-2021,Tovi Kohi,Nadhila,22:17:00,"Choco Latte, Ice",,1,0,19000,19000,0,,0,,0,19000,Transaksi,CASH,
21621K5P,26-04-2021,Tovi Kohi,Nadhila,21:29:39,"Coffee Beer,",,2,0,20000,40000,0,,4000,"% ,",0,36000,Transaksi,CASH,
21621IO6,26-04-2021,Tovi Kohi,Nadhila,21:28:26,"Dragon Tea, Hot",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
21620CV1,26-04-2021,Tovi Kohi,Kamil,20:37:38,"Cafe Latte, Original",,1,0,16000,16000,0,,1000,"Rp ,",0,15000,Transaksi,CASH,
21617MKI,26-04-2021,Tovi Kohi,Kamil,17:31:26,"Pink Story, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
21617MKI,26-04-2021,Tovi Kohi,Kamil,17:31:26,"Strawberry Jam,",,1,0,2000,2000,0,,0,,0,2000,Transaksi,CASH,
21523E8O,25-04-2021,Tovi Kohi,Nadhila,23:56:00,"Cafe Latte, Original",,1,0,16000,16000,0,,444,"Rp ,",0,15556,Transaksi,CASH,
21523E8O,25-04-2021,Tovi Kohi,Nadhila,23:56:00,"Pink Story, Ice",,1,0,18000,18000,0,,500,"Rp ,",0,17500,Transaksi,CASH,
21523E8O,25-04-2021,Tovi Kohi,Nadhila,23:56:00,"Strawberry Jam,",,1,0,2000,2000,0,,56,"Rp ,",0,1944,Transaksi,CASH,
21522476,25-04-2021,Tovi Kohi,Nadhila,22:26:02,"Choco Hazelnut, Ice",,1,0,22000,22000,4400,"% ,",0,,0,17600,Transaksi,CASH,
214215P2,24-04-2021,Tovi Kohi,Nadhila,21:59:41,"Coffee Beer,",,1,0,20000,20000,0,,2000,"% ,",0,18000,Transaksi,CASH,
21421YIR,24-04-2021,Tovi Kohi,Nadhila,21:58:54,"To - Brew,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
21421YIR,24-04-2021,Tovi Kohi,Nadhila,21:58:54,"Cafe Latte, Original",,1,0,16000,16000,1000,"Rp ,",0,,0,15000,Transaksi,CASH,
21421UW0,24-04-2021,Tovi Kohi,Nadhila,21:57:12,"V-60, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
21421UW0,24-04-2021,Tovi Kohi,Nadhila,21:57:12,"Americano, Hot",,1,0,14000,14000,0,,0,,0,14000,Transaksi,CASH,
21421M5K,24-04-2021,Tovi Kohi,Nadhila,21:53:06,"Pink Story, Ice",,4,0,18000,72000,0,,0,,0,72000,Transaksi,CASH,
21421M5K,24-04-2021,Tovi Kohi,Nadhila,21:53:06,"Strawberry Jam,",,4,0,2000,8000,0,,0,,0,8000,Transaksi,CASH,
21420QLN,24-04-2021,Tovi Kohi,Nadhila,20:12:50,"Pink Story, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
21420QLN,24-04-2021,Tovi Kohi,Nadhila,20:12:50,"Strawberry Jam,",,1,0,2000,2000,0,,0,,0,2000,Transaksi,CASH,
21420F4E,24-04-2021,Tovi Kohi,Nadhila,20:12:32,"Pink Story, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
21420F4E,24-04-2021,Tovi Kohi,Nadhila,20:12:32,"Strawberry Jam,",,1,0,2000,2000,0,,0,,0,2000,Transaksi,CASH,
21322RY6,23-04-2021,Tovi Kohi,Pipah,22:47:52,"Gula Aren, Original",,2,0,17000,34000,0,,0,,0,34000,Transaksi,CASH,
21322D61,23-04-2021,Tovi Kohi,Pipah,22:27:05,"Long Black,",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
213229P1,23-04-2021,Tovi Kohi,Pipah,22:11:31,"Coffee Beer,",,1,0,20000,20000,0,,2000,"% ,",0,18000,Transaksi,CASH,
213193Y0,23-04-2021,Tovi Kohi,Pipah,19:57:03,"V-60, Original",,1,0,17000,17000,0,,6071,"Rp ,",0,10929,Transaksi,CASH,
213193Y0,23-04-2021,Tovi Kohi,Pipah,19:57:03,"Vietnam Drip, Hot",,1,0,15000,15000,0,,5357,"Rp ,",0,9643,Transaksi,CASH,
213193Y0,23-04-2021,Tovi Kohi,Pipah,19:57:03,"Garlic Bread,",,1,0,10000,10000,0,,3571,"Rp ,",0,6429,Transaksi,CASH,
21222ZX7,22-04-2021,Tovi Kohi,Nadhila,22:51:25,"Pink Story, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
21222ZX7,22-04-2021,Tovi Kohi,Nadhila,22:51:25,"Strawberry Jam,",,1,0,2000,2000,0,,0,,0,2000,Transaksi,CASH,
